season,daynum,wteam,wscore,lteam,lscore,wloc
A,100,511,170,512,166,A
A,100,518,202,769,175,H
A,100,520,214,503,154,A
A,100,527,214,778,175,A
A,100,529,178,537,151,H
A,100,530,163,678,137,A
A,100,533,197,517,156,H
A,100,547,180,586,175,A
A,100,549,194,780,118,H
A,100,556,154,637,151,A
A,100,561,149,534,144,A
A,100,570,223,615,156,H
A,100,571,180,683,163,H
A,100,576,230,799,209,H
A,100,581,214,836,199,A
A,100,592,151,790,122,H
A,100,599,185,853,166,H
A,100,604,204,655,197,A
A,100,606,175,577,170,H
A,100,610,170,747,146,H
A,100,616,226,555,214,H
A,100,628,211,715,185,A
A,100,633,168,650,163,H
A,100,636,214,629,168,H
A,100,640,288,827,194,A
A,100,660,197,771,146,H
A,100,671,132,720,98,H
A,100,676,238,698,235,H
A,100,692,146,642,142,H
A,100,719,166,639,146,H
A,100,738,180,849,101,A
A,100,740,194,815,161,H
A,100,743,202,635,192,A
A,100,746,168,764,146,H
A,100,773,173,608,166,H
A,100,786,175,731,161,A
A,100,793,190,742,154,A
A,100,796,204,788,168,H
A,100,798,182,669,168,H
A,100,805,166,573,120,A
A,100,825,199,847,163,H
A,100,832,170,600,115,A
A,100,839,194,595,161,H
A,101,510,223,598,187,H
A,101,513,166,703,158,H
A,101,516,110,803,91,H
A,101,519,204,752,166,A
A,101,528,190,611,156,H
A,101,540,127,784,120,A
A,101,541,144,766,132,A
A,101,543,209,667,185,H
A,101,554,166,809,156,A
A,101,557,194,536,182,H
A,101,560,223,523,190,H
A,101,562,163,749,151,A
A,101,597,238,754,214,A
A,101,607,226,730,192,H
A,101,613,194,502,149,H
A,101,619,204,593,132,H
A,101,624,233,714,192,H
A,101,626,204,575,199,H
A,101,627,185,704,166,H
A,101,659,250,648,178,H
A,101,664,166,795,118,H
A,101,666,163,546,132,A
A,101,681,182,713,146,A
A,101,686,192,744,168,H
A,101,690,235,622,216,H
A,101,702,144,757,142,A
A,101,711,173,765,156,A
A,101,724,214,792,178,A
A,101,725,132,840,125,A
A,101,727,216,699,134,H
A,101,729,146,623,139,H
A,101,732,233,652,185,N
A,101,745,158,838,151,A
A,101,751,211,819,178,H
A,101,756,163,822,156,H
A,101,761,218,605,206,H
A,101,776,168,588,161,A
A,101,777,204,679,173,A
A,101,783,238,818,166,H
A,101,789,144,779,139,H
A,101,797,190,762,142,H
A,101,800,281,548,259,N
A,101,801,163,651,156,A
A,101,810,175,539,156,A
A,101,811,156,768,115,H
A,101,820,154,705,144,A
A,101,828,185,712,154,H
A,101,830,202,695,197,A
A,101,833,202,850,173,A
A,101,835,221,643,175,A
A,101,841,146,726,101,H
A,101,842,233,680,192,H
A,101,845,233,552,202,A
A,102,526,137,620,127,A
A,102,531,178,558,149,A
A,102,567,130,728,127,H
A,102,621,134,582,132,A
A,102,645,156,814,103,A
A,102,657,185,570,156,A
A,102,736,118,612,106,A
A,102,755,190,781,180,A
A,102,758,173,753,125,H
A,102,799,190,700,168,H
A,102,812,192,716,168,A
A,102,854,127,561,118,A
A,103,509,240,847,158,H
A,103,513,182,803,173,H
A,103,518,175,592,168,A
A,103,519,202,762,170,A
A,103,520,187,836,161,H
A,103,521,187,767,178,H
A,103,526,168,582,156,A
A,103,527,149,668,139,A
A,103,530,175,714,170,H
A,103,534,204,696,185,A
A,103,535,182,552,163,A
A,103,536,194,852,170,A
A,103,538,218,774,187,A
A,103,539,204,818,166,H
A,103,540,168,809,166,A
A,103,541,173,653,161,A
A,103,543,190,605,182,H
A,103,545,163,813,110,H
A,103,547,206,598,134,H
A,103,554,163,784,139,A
A,103,555,190,644,161,H
A,103,556,202,677,132,H
A,103,558,178,854,139,H
A,103,561,161,531,127,H
A,103,562,187,626,173,A
A,103,568,202,510,158,H
A,103,574,216,622,170,H
A,103,576,223,615,151,H
A,103,579,209,544,202,H
A,103,580,185,797,178,H
A,103,581,218,537,190,H
A,103,587,192,575,166,H
A,103,588,228,648,185,H
A,103,589,173,704,154,H
A,103,594,182,590,154,H
A,103,595,240,662,187,H
A,103,596,163,569,139,H
A,103,599,221,641,199,H
A,103,602,235,743,218,H
A,103,604,163,504,132,H
A,103,606,221,708,199,A
A,103,608,185,804,146,H
A,103,611,197,712,190,H
A,103,613,233,597,182,H
A,103,616,185,692,161,H
A,103,617,151,742,142,H
A,103,619,173,523,139,H
A,103,621,158,620,149,A
A,103,629,178,698,142,H
A,103,632,180,508,142,H
A,103,633,192,643,168,A
A,103,634,187,752,156,H
A,103,642,185,517,173,H
A,103,647,175,702,137,H
A,103,650,113,768,98,H
A,103,651,194,805,158,H
A,103,654,204,851,161,H
A,103,661,170,600,125,A
A,103,664,214,820,199,H
A,103,665,168,571,161,N
A,103,669,238,503,120,H
A,103,672,190,791,178,A
A,103,673,158,715,113,A
A,103,674,187,827,132,H
A,103,675,182,721,170,A
A,103,676,185,636,175,H
A,103,679,180,745,130,H
A,103,680,185,713,110,A
A,103,683,194,593,178,H
A,103,685,230,734,182,H
A,103,686,204,776,134,H
A,103,687,194,682,158,A
A,103,701,194,824,125,H
A,103,703,166,516,158,A
A,103,711,154,751,149,A
A,103,719,199,529,161,H
A,103,722,199,637,144,H
A,103,723,182,635,173,H
A,103,724,185,565,142,A
A,103,727,178,822,137,H
A,103,728,185,612,151,A
A,103,729,130,671,120,H
A,103,732,214,730,182,H
A,103,736,125,567,98,A
A,103,737,192,731,170,H
A,103,738,166,670,154,H
A,103,740,221,848,197,A
A,103,744,192,659,161,H
A,103,747,178,693,127,H
