season,daynum,wteam,wscore,lteam,lscore
A,136,515,206,729,192
A,136,559,163,555,142
A,136,576,180,666,151
A,136,581,180,577,144
A,136,604,194,551,178
A,136,629,178,539,154
A,136,640,264,756,173
A,136,660,163,679,106
A,136,663,221,809,168
A,136,675,139,825,122
A,136,736,103,810,98
A,136,738,175,833,170
A,136,783,158,530,139
A,136,786,211,681,132
A,136,821,173,541,103
A,136,831,146,844,115
A,137,511,216,826,122
A,137,527,154,625,122
A,137,549,158,815,146
A,137,603,223,685,134
A,137,606,216,519,190
A,137,628,194,599,190
A,137,636,221,747,130
A,137,651,197,802,192
A,137,701,166,637,115
A,137,708,199,703,149
A,137,758,218,662,190
A,137,789,146,721,103
A,137,793,192,670,182
A,137,796,178,690,175
A,137,829,221,732,139
A,137,839,149,812,120
A,138,515,156,660,134
A,138,559,228,581,194
A,138,604,182,738,166
A,138,640,202,831,144
A,138,663,190,783,178
A,138,675,151,736,98
A,138,786,166,576,139
A,138,821,175,629,161
A,139,511,209,628,175
A,139,549,187,789,156
A,139,603,175,701,149
A,139,606,247,527,214
A,139,636,182,758,122
A,139,651,163,829,154
A,139,796,221,708,175
A,139,839,156,793,149
A,143,603,235,796,216
A,143,640,242,821,168
A,143,663,190,515,151
A,143,839,144,651,142
A,144,549,209,606,168
A,144,636,199,511,192
A,144,675,144,559,132
A,144,786,199,604,194
A,145,640,199,839,151
A,145,663,206,603,149
A,146,675,175,549,151
A,146,786,144,636,137
A,152,640,194,663,178
A,152,786,185,675,166
A,154,640,182,786,161
B,136,511,156,768,137
B,136,527,175,826,158
B,136,539,132,736,125
B,136,549,206,535,166
B,136,554,180,662,158
B,136,556,192,625,149
B,136,628,175,830,144
B,136,629,166,624,137
B,136,636,187,632,154
B,136,640,221,680,130
B,136,708,197,589,178
B,136,738,199,741,182
B,136,779,180,727,156
B,136,810,262,545,180
B,136,829,242,648,218
B,136,853,192,827,163
B,137,546,190,603,161
B,137,547,175,604,168
B,137,551,163,669,134
B,137,560,187,769,156
B,137,577,170,687,163
B,137,623,216,818,185
B,137,651,156,663,137
B,137,673,187,795,110
