season,seed,team
A,E01,559
A,E02,549
A,E03,606
A,E04,810
A,E05,675
A,E06,625
A,E07,789
A,E08,577
A,E09,581
A,E10,721
A,E11,527
A,E12,825
A,E13,736
A,E14,519
A,E15,815
A,E16,555
A,N01,663
A,N02,603
A,N03,796
A,N04,660
A,N05,729
A,N06,708
A,N07,701
A,N08,530
A,N09,783
A,N10,637
A,N11,703
A,N12,515
A,N13,679
A,N14,690
A,N15,685
A,N16,809
A,S01,640
A,S02,839
A,S03,829
A,S04,821
A,S05,629
A,S06,651
A,S07,670
A,S08,844
A,S09,831
A,S10,793
A,S11,802
A,S12,539
A,S13,541
A,S14,732
A,S15,812
A,S16,756
A,W01,738
A,W02,636
A,W03,511
A,W04,786
A,W05,666
A,W06,628
A,W07,662
A,W08,604
A,W09,551
A,W10,758
A,W11,599
A,W12,576
A,W13,681
A,W14,826
A,W15,747
A,W16,833
B,E01,673
B,E02,810
B,E03,549
B,E04,551
B,E05,802
B,E06,629
B,E07,853
B,E08,674
B,E09,789
B,E10,827
B,E11,624
B,E12,528
B,E13,669
B,E14,535
B,E15,545
B,E16,795
B,N01,708
B,N02,769
B,N03,701
B,N04,829
B,N05,539
B,N06,651
B,N07,849
B,N08,625
B,N09,556
B,N10,793
B,N11,663
B,N12,736
B,N13,648
B,N14,723
B,N15,560
B,N16,589
B,S01,636
B,S02,577
B,S03,604
B,S04,511
B,S05,662
B,S06,623
B,S07,660
B,S08,738
B,S09,741
B,S10,737
B,S11,818
B,S12,554
B,S13,768
B,S14,547
B,S15,687
B,S16,632
B,W01,640
B,W02,821
B,W03,839
B,W04,779
B,W05,527
B,W06,783
B,W07,546
B,W08,628
B,W09,830
B,W10,603
B,W11,721
B,W12,826
B,W13,727
B,W14,781
B,W15,692
B,W16,680
C,E01,636
C,E02,738
C,E03,783
C,E04,674
C,E05,788
C,E06,551
C,E07,778
C,E08,741
C,E09,687
C,E10,574
C,E11,836
C,E12,595
C,E13,826
C,E14,554
C,E15,570
C,E16,734
C,N01,708
C,N02,559
C,N03,769
C,N04,671
C,N05,736
C,N06,853
C,N07,625
C,N08,546
C,N09,622
C,N10,721
C,N11,840
C,N12,817
C,N13,581
C,N14,743
C,N15,588
C,N16,692
C,S01,511
C,S02,549
C,S03,821
C,S04,662
C,S05,623
C,S06,515
C,S07,789
C,S08,790
C,S09,624
C,S10,843
C,S11,698
C,S12,768
C,S13,822
C,S14,755
C,S15,713
C,S16,705
C,W01,577
C,W02,640
C,W03,670
C,W04,701
C,W05,786
C,W06,810
C,W07,663
C,W08,722
C,W09,599
C,W10,780
C,W11,668
C,W12,627
C,W13,535
C,W14,568
C,W15,747
C,W16,740
D,E01,518
D,E02,662
D,E03,778
D,E04,720
D,E05,810
D,E06,625
D,E07,651
D,E08,786
D,E09,722
D,E10,562
D,E11,599
D,E12,574
D,E13,687
D,E14,752
D,E15,826
D,E16,848
D,N01,577
D,N02,668
D,N03,549
D,N04,790
D,N05,849
D,N06,789
D,N07,793
D,N08,554
D,N09,802
D,N10,738
D,N11,639
D,N12,678
D,N13,570
D,N14,602
D,N15,642
D,N16,593
D,S01,671
D,S02,821
D,S03,640
D,S04,511
D,S05,546
D,S06,636
D,S07,840
D,S08,829
D,S09,674
D,S10,669
D,S11,587
D,S12,741
D,S13,721
D,S14,702
D,S15,516
D,S16,686
D,W01,559
D,W02,783
D,W03,708
D,W04,515
D,W05,628
D,W06,592
D,W07,673
D,W08,676
D,W09,701
D,W10,607
D,W11,728
D,W12,805
D,W13,766
D,W14,842
D,W15,508
D,W16,820
E,E01,577
E,E02,789
E,E03,722
E,E04,623
E,E05,592
E,E06,625
E,E07,725
E,E08,636
E,E09,573
E,E10,764
E,E11,730
E,E12,535
E,E13,728
E,E14,615
E,E15,642
E,E16,643
E,N01,671
E,N02,629
E,N03,662
E,N04,786
E,N05,640
E,N06,810
E,N07,518
E,N08,821
E,N09,780
E,N10,562
E,N11,520
E,N12,775
E,N13,752
E,N14,627
E,N15,544
E,N16,826
E,S01,511
E,S02,778
E,S03,721
E,S04,655
E,S05,793
E,S06,738
E,S07,651
E,S08,849
E,S09,597
E,S10,607
E,S11,569
E,S12,626
E,S13,762
E,S14,848
E,S15,713
E,S16,632
E,W01,783
E,W02,549
E,W03,720
E,W04,790
E,W05,559
E,W06,668
E,W07,802
E,W08,708
E,W09,676
E,W10,817
E,W11,515
E,W12,822
E,W13,811
E,W14,510
E,W15,816
E,W16,747
F,E01,623
F,E02,511
F,E03,674
F,E04,636
F,E05,786
F,E06,717
F,E07,839
F,E08,790
F,E09,546
F,E10,535
F,E11,853
F,E12,613
F,E13,565
F,E14,627
F,E15,579
F,E16,716
F,N01,577
F,N02,640
F,N03,527
F,N04,810
F,N05,720
F,N06,818
F,N07,628
F,N08,604
F,N09,676
F,N10,562
F,N11,722
F,N12,822
F,N13,615
F,N14,774
F,N15,616
F,N16,679
F,S01,783
F,S02,629
F,S03,662
F,S04,625
F,S05,549
F,S06,849
F,S07,515
F,S08,606
F,S09,779
F,S10,603
F,S11,605
F,S12,536
F,S13,639
F,S14,602
F,S15,610
F,S16,815
F,W01,671
F,W02,708
F,W03,592
F,W04,721
F,W05,830
F,W06,793
F,W07,729
F,W08,539
F,W09,597
F,W10,737
F,W11,789
F,W12,607
F,W13,626
F,W14,835
F,W15,736
F,W16,506
G,E01,577
G,E02,504
G,E03,731
G,E04,818
G,E05,625
G,E06,539
G,E07,722
G,E08,717
G,E09,546
G,E10,639
G,E11,728
G,E12,821
G,E13,816
G,E14,544
G,E15,590
G,E16,848
G,N01,662
G,N02,559
G,N03,604
G,N04,640
G,N05,660
G,N06,796
G,N07,695
G,N08,849
G,N09,778
G,N10,671
G,N11,749
G,N12,802
G,N13,826
G,N14,687
G,N15,610
G,N16,766
G,S01,636
G,S02,725
G,S03,675
G,S04,623
G,S05,592
G,S06,793
G,S07,839
G,S08,783
G,S09,835
G,S10,730
G,S11,527
G,S12,562
G,S13,754
G,S14,664
G,S15,680
G,S16,616
G,W01,549
G,W02,721
G,W03,511
G,W04,720
G,W05,668
G,W06,607
G,W07,853
G,W08,810
G,W09,674
G,W10,613
G,W11,852
G,W12,676
G,W13,568
G,W14,757
G,W15,622
G,W16,528
H,E01,640
H,E02,731
H,E03,660
H,E04,569
H,E05,849
H,E06,676
H,E07,625
H,E08,725
H,E09,821
H,E10,504
H,E11,749
H,E12,842
H,E13,802
H,E14,616
H,E15,838
H,E16,631
H,N01,721
H,N02,839
H,N03,786
H,N04,651
H,N05,675
H,N06,722
H,N07,779
H,N08,539
H,N09,695
H,N10,518
H,N11,728
H,N12,535
H,N13,519
H,N14,658
H,N15,586
H,N16,747
H,S01,793
H,S02,592
H,S03,853
H,S04,783
H,S05,559
H,S06,662
H,S07,671
H,S08,655
H,S09,738
H,S10,556
H,S11,816
H,S12,536
H,S13,753
H,S14,800
H,S15,751
H,S16,814
H,W01,511
H,W02,636
H,W03,577
H,W04,623
H,W05,717
H,W06,562
H,W07,666
H,W08,549
H,W09,607
H,W10,512
H,W11,537
H,W12,845
H,W13,835
H,W14,557
H,W15,822
H,W16,828
I,E01,779
I,E02,722
I,E03,731
I,E04,839
I,E05,592
I,E06,849
I,E07,666
I,E08,796
I,E09,546
I,E10,769
I,E11,743
I,E12,658
I,E13,825
I,E14,809
I,E15,582
I,E16,645
I,N01,577
I,N02,675
I,N03,793
I,N04,549
I,N05,623
I,N06,708
I,N07,853
I,N08,764
I,N09,511
I,N10,651
I,N11,502
I,N12,687
I,N13,586
I,N14,736
I,N15,679
I,N16,506
I,S01,783
I,S02,559
I,S03,695
I,S04,662
I,S05,786
I,S06,827
I,S07,573
I,S08,504
I,S09,749
I,S10,569
I,S11,836
I,S12,536
I,S13,824
I,S14,811
I,S15,828
I,S16,820
I,W01,640
I,W02,607
I,W03,606
I,W04,636
I,W05,737
I,W06,527
I,W07,671
I,W08,840
I,W09,805
I,W10,699
I,W11,821
I,W12,727
I,W13,622
I,W14,714
I,W15,826
I,W16,593
J,E01,577
J,E02,640
J,E03,721
J,E04,786
J,E05,671
J,E06,821
J,E07,549
J,E08,783
J,E09,675
J,E10,628
J,E11,824
J,E12,723
J,E13,828
J,E14,704
J,E15,580
J,E16,571
J,N01,840
J,N02,839
J,N03,607
J,N04,651
J,N05,606
J,N06,796
J,N07,843
J,N08,727
J,N09,731
J,N10,562
J,N11,810
J,N12,599
J,N13,811
J,N14,848
J,N15,547
J,N16,680
J,S01,623
J,S02,722
J,S03,511
J,S04,527
J,S05,504
J,S06,655
J,S07,749
J,S08,793
J,S09,699
J,S10,781
J,S11,805
J,S12,845
J,S13,728
J,S14,822
J,S15,761
J,S16,588
J,W01,708
J,W02,559
J,W03,636
J,W04,592
J,W05,829
J,W06,849
J,W07,546
J,W08,673
J,W09,629
J,W10,695
J,W11,714
J,W12,701
J,W13,719
J,W14,533
J,W15,809
J,W16,718
K,E01,829
K,E02,720
