slot,strongseed,weakseed
R1E1,E01,E16
R1E2,E02,E15
R1E3,E03,E14
R1E4,E04,E13
R1E5,E05,E12
R1E6,E06,E11
R1E7,E07,E10
R1E8,E08,E09
R1N1,N01,N16
R1N2,N02,N15
R1N3,N03,N14
R1N4,N04,N13
R1N5,N05,N12
R1N6,N06,N11
R1N7,N07,N10
R1N8,N08,N09
R1S1,S01,S16
R1S2,S02,S15
R1S3,S03,S14
R1S4,S04,S13
R1S5,S05,S12
R1S6,S06,S11
R1S7,S07,S10
R1S8,S08,S09
R1W1,W01,W16
R1W2,W02,W15
R1W3,W03,W14
R1W4,W04,W13
R1W5,W05,W12
R1W6,W06,W11
R1W7,W07,W10
R1W8,W08,W09
R2E1,R1E1,R1E8
R2E2,R1E2,R1E7
R2E3,R1E3,R1E6
R2E4,R1E4,R1E5
R2N1,R1N1,R1N8
R2N2,R1N2,R1N7
R2N3,R1N3,R1N6
R2N4,R1N4,R1N5
R2S1,R1S1,R1S8
R2S2,R1S2,R1S7
R2S3,R1S3,R1S6
R2S4,R1S4,R1S5
R2W1,R1W1,R1W8
R2W2,R1W2,R1W7
R2W3,R1W3,R1W6
R2W4,R1W4,R1W5
R3E1,R2E1,R2E4
R3E2,R2E2,R2E3
R3N1,R2N1,R2N4
R3N2,R2N2,R2N3
R3S1,R2S1,R2S4
R3S2,R2S2,R2S3
R3W1,R2W1,R2W4
R3W2,R2W2,R2W3
R4E1,R3E1,R3E2
R4N1,R3N1,R3N2
R4S1,R3S1,R3S2
R4W1,R3W1,R3W2
R5EW,R4E1,R4W1
R5NS,R4N1,R4S1
R6CH,R5NS,R5EW
